townkey1849;city;cityname;population;kreiskey1849;district;region;Gründung;Jahr;Gesamt;Turnfreunde;Turner_1420;Turner_20;Turner;Beruf_Handwerk;Beruf_Gelehrte;Beruf_Kaufleute;Check_Gesamt;Check_Beruf;Check_Alter
;Dippoldiswalde;Dippoldiswalde;2891;;Kreis Dresden;93;11.10.1860;1860;97;50;20;27;47;51;11;35;0;0;0
;Dohna;Dohna;1576;;Kreis Dresden;93;1.07.1863;1863;85;25;29;31;60;68;2;15;0;0;0
;Dresden;Dresden;128152;;Kreis Dresden;93;12.02.1844;1844;1714;460;542;712;1254;1119;290;305;0;0;0
;Dresden;Dresden;128152;;Kreis Dresden;93;18.01.1862;1862;140;0;0;140;140;9;92;39;0;0;0
;Dresden;Dresden;128152;;Kreis Dresden;93;22.04.1862;1862;148;0;41;107;148;130;14;4;0;0;0
;Dresden;Dresden;128152;;Kreis Dresden;93;17.01.1861;1861;526;338;65;123;188;274;69;183;0;0;0
;Freiberg;Freiberg;17488;;Kreis Dresden;93;30.05.1856;1856;416;0;121;295;416;215;125;76;0;0;0
;Glashütte;Glashuette;1431;;Kreis Dresden;93;14.06.1852;1852;54;9;16;29;45;45;5;4;0;0;0
;Großenhain;Grossenhain;8988;;Kreis Dresden;93;1.06.1862;1862;261;124;57;80;137;182;29;50;0;0;0
;Hainsberg;Hainsberg;640;;Kreis Dresden;93;11.05.1862;1862;66;30;11;25;36;59;1;6;0;0;0
;Hohnstein;Hohnstein;1360;;Kreis Dresden;93;20.8.1863;1863;31;4;15;12;27;23;4;4;0;0;0
;Königstein;Koenigstein;2654;;Kreis Dresden;93;1.07.1862;1862;92;44;15;33;48;49;9;34;0;0;0
;Krippen;Krippen;833;;Kreis Dresden;93;17.07.1863;1863;42;30;2;10;12;32;4;6;0;0;0
;Langenburkersdorf;Langenburkersdorf;1377;;Kreis Dresden;93;27.09.1862;1862;37;16;5;16;21;25;1;11;0;0;0
;Liebstadt;Liebstadt;901;;Kreis Dresden;93;20.9.1847;1847;48;20;11;17;28;42;2;4;0;0;0
;Lommatzsch;Lommatzsch;2966;;Kreis Dresden;93;1.10.1860;1860;99;22;37;40;77;87;3;9;0;0;0
;Loschwitz und Blasewitz;Loschwitz und Blasewitz;2882;;Kreis Dresden;93;18.10.1863;1863;53;9;28;16;44;49;3;1;0;0;0
;Meißen;Meissen;9886;;Kreis Dresden;93;15.07.1846;1846;217;50;90;77;167;177;19;21;0;0;0
;Neustadt ;Neustadt ;2535;;Kreis Dresden;93;2?.08.1858;1858;271;175;32;64;96;254;7;10;0;0;0
;Neustadt ;Neustadt ;2535;;Kreis Dresden;93;10.03.1863;1863;45;10;15;20;35;39;1;5;0;0;0
;Nossen;Nossen;2603;;Kreis Dresden;93;18.03.1849;1849;79;22;26;31;57;58;18;3;0;0;0
;Pirna;Pirna;7441;;Kreis Dresden;93;4.04.1846;1846;239;115;69;55;124;129;8;102;0;0;0
;Pirna;Pirna;7441;;Kreis Dresden;93;23.06.1860;1860;49;1;8;40;48;37;2;10;0;0;0
;Plauen bei Dresden;Plauen bei Dresden;1017;;Kreis Dresden;93;11.03.1863;1863;121;76;20;25;45;81;5;35;0;0;0
;Plauenscher Grund (Potschappel);Plauenscher Grund (Potschappel);2202;;Kreis Dresden;93;6.06.1861;1861;308;223;36;49;85;136;55;117;0;0;0
;Radeberg;Radeberg;3067;;Kreis Dresden;93;6.06.1862;1862;91;20;34;37;71;65;2;24;0;0;0
;Radeburg;Radeburg;2394;;Kreis Dresden;93;10.05.1862;1862;82;30;24;28;52;58;13;11;0;0;0
;Reinhardtsgrimma;Reinhardtsgrimma;849;;Kreis Dresden;93;1.06.1864;1864;20;0;15;5;20;20;0;0;0;0;0
;Riesa;Riesa;4617;;Kreis Dresden;93;1.09.1860;1860;130;53;18;59;77;47;17;66;0;0;0
;Riesa;Riesa;4617;;Kreis Dresden;93;22.07.1863;1863;176;80;54;42;96;160;16;0;0;0;0
;Sayda;Sayda;1537;;Kreis Dresden;93;20.04.1863;1863;60;14;17;29;46;35;20;5;0;0;0
